Order ID|Unit Price Dollars|Staples Discount Dollars|Merchant Discount Dollars|Session Type
3184|49.59|21.08|19.28|CONTROL
5946|138.26|5.46|8.35|MANAGED
5773|135.21|29.57|10.32|CONTROL
2430|140.89|18.79|19.58|MANAGED
784|93.93|17.2|17.9|CONTROL
1797|182.65|18.69|24.57|MANAGED
1566|113.63|3.13|5.88|MANAGED
1358|110.9|10.11|15.81|TEST
668|47.48|13.71|12.14|TEST
330|68.67|1.15|18.38|MANAGED
275|13.98|24.66|11.87|TEST
6242|187.56|28.27|6.57|TEST
6811|172.36|3.07|25.81|CONTROL
5561|183.26|11.35|11.01|TEST
8436|133|25.09|18.66|MANAGED
7936|168.64|5.71|22.87|CONTROL
3853|154.31|10.22|2.78|CONTROL
1656|2.6|4.04|8.74|MANAGED
1035|153.06|20.19|3.86|MANAGED
324|136.46|19.02|3.33|MANAGED
2627|192.97|14.21|13.76|TEST
2933|139.1|24.1|3.16|TEST
5323|36.46|30.93|7.18|CONTROL
2552|142.22|21.49|5.28|TEST
5432|75.87|6.35|25.75|TEST
655|96.12|23.07|15.18|CONTROL
7782|130.09|24.31|22.5|MANAGED
5659|98.11|28.16|14.55|CONTROL
5029|95.11|29.78|12.48|CONTROL
7045|45.38|27.83|16.34|CONTROL
8701|42.71|29.15|19.58|CONTROL
6883|111.78|22.78|16.09|CONTROL
8923|67.38|4.46|25.61|CONTROL
8199|5.19|20.36|14.11|MANAGED
580|143.02|22.48|18.06|CONTROL
1884|107.11|12.75|1.66|MANAGED
864|78.73|11.71|22.19|MANAGED
569|55.4|8.64|18.91|TEST
9750|154.03|11.8|20.26|MANAGED
7290|181.02|3.49|15.77|MANAGED
969|115.39|18.49|20.13|MANAGED
7129|195.56|16.51|14.55|CONTROL
9094|118.23|30.26|4.21|CONTROL
105|110.59|2.31|6.15|MANAGED
2746|90.46|12.07|21.39|CONTROL
7652|24.97|6.26|18.9|TEST
7|40.51|17.87|11.54|CONTROL
6676|13.28|23.14|17.53|CONTROL
4997|89.22|16.18|14.24|TEST
4971|76.77|6.03|23.25|MANAGED
4649|5.26|28.85|16.69|TEST
7085|20.5|2.72|9.46|TEST
3797|96.19|9.21|18.92|TEST
5477|34.71|1.15|1.07|TEST
3776|118.97|13.22|6.43|TEST
2774|165.91|23.06|15.79|TEST
3071|54.32|15.5|4.48|TEST
1820|31.26|11.54|8.36|TEST
6228|176.55|12.97|22.22|MANAGED
1023|189|29.24|13.06|MANAGED
8483|106.58|17.78|21.42|TEST
8689|132.95|17.3|9.29|CONTROL
4444|31.45|14.06|15.78|CONTROL
2696|107.14|17|5.69|TEST
1901|138.4|9.45|21.47|TEST
3922|93.99|21.48|16.67|CONTROL
4790|92.89|29.66|20.22|TEST
7250|101.94|1.62|3.51|TEST
3504|137.83|4.64|1.53|MANAGED
9874|175.62|28.99|21.17|CONTROL
9198|16.13|26.16|13.48|MANAGED
2322|171.8|19.04|19.87|MANAGED
9167|74.01|29.85|14.57|TEST
1390|96.26|22.15|14.46|CONTROL
3955|162.37|10.83|20.79|CONTROL
856|32.45|22.13|8.41|CONTROL
174|167.04|30.11|2.45|MANAGED
7949|119.83|22.3|1.94|TEST
4780|34.79|9.95|17.28|CONTROL
1644|6.54|16.14|16.02|MANAGED
1869|106.26|2.94|23.49|MANAGED
5963|84.78|15.86|18.03|TEST
7748|20.12|10.79|21.5|TEST
8806|138.21|4.64|25.81|CONTROL
816|175.48|18.37|21.27|MANAGED
7697|122.09|24.72|23.72|TEST
2647|2.13|5.04|2.39|CONTROL
1484|169.53|12.1|23.5|TEST
7876|152.94|1.53|1.41|CONTROL
7135|36.18|13.4|24.98|CONTROL
723|177.93|5.24|21.49|MANAGED
1460|164.6|9.03|21.66|TEST
5540|106.84|11.62|4.76|TEST
9140|163.1|30.89|19.99|TEST
9290|183.68|14.1|11.17|TEST
1444|123.4|26.52|22.53|CONTROL
5912|7.1|18.65|7.63|TEST
1070|35.71|15.44|6.68|TEST
5881|38.15|22.15|25.9|CONTROL
2474|29.05|15.64|18.47|TEST
